,Motif_ID,Motif_Symbol,AtID,Source
0,M00719_2.00,RAP2-2,AT3G14230,CIS-BP
1,M00724_2.00,EIL1,AT2G27050,CIS-BP
2,M00728_2.00,HAT3,AT3G60390,CIS-BP
3,M00751_2.00,AT1G48610,AT1G48610,CIS-BP
4,M00842_2.00,ERF018,AT1G74930,CIS-BP
5,M00845_2.00,RAP2.7,AT2G28550,CIS-BP
6,M00847_2.00,RAP2-3,AT3G16770,CIS-BP
7,M00848_2.00,ERF1A,AT4G17500,CIS-BP
8,M00850_2.00,RAP2-10,AT4G36900,CIS-BP
9,M00851_2.00,TOE2,AT5G60120,CIS-BP
10,M00852_2.00,ARF3,AT2G33860,CIS-BP
11,M00853_2.00,REM1,AT4G31610,CIS-BP
12,M00855_2.00,BZIP60,AT1G42990,CIS-BP
13,M00857_2.00,ZAT2,AT2G17180,CIS-BP
14,M00858_2.00,AT3G53600,AT3G53600,CIS-BP
15,M00859_2.00,AT4G35610,AT4G35610,CIS-BP
16,M00860_2.00,AT5G03510,AT5G03510,CIS-BP
17,M00861_2.00,ZAT6,AT5G04340,CIS-BP
18,M00862_2.00,DOF5.7,AT5G65590,CIS-BP
19,M00872_2.00,ARR11,AT1G67710,CIS-BP
20,M00874_2.00,GPRI1,AT2G20570,CIS-BP
21,M00875_2.00,CCA1,AT2G46830,CIS-BP
22,M00877_2.00,MYB46,AT5G12870,CIS-BP
23,M00878_2.00,KAN1,AT5G16560,CIS-BP
24,M00880_2.00,AT5G28300,AT5G28300,CIS-BP
25,M00881_2.00,KAN4,AT5G42630,CIS-BP
26,M00882_2.00,MYB111,AT5G49330,CIS-BP
27,M00883_2.00,MYB59,AT5G59780,CIS-BP
28,M00890_2.00,YAB1,AT2G45190,CIS-BP
29,M00891_2.00,TCP23,AT1G35560,CIS-BP
30,M00894_2.00,AHL12,AT1G63480,CIS-BP
31,M00895_2.00,SRS1,AT3G51060,CIS-BP
32,M00896_2.00,AHL20,AT4G14465,CIS-BP
33,M00897_2.00,AHL25,AT4G35390,CIS-BP
34,M00898_2.00,WRKY12,AT2G44745,CIS-BP
35,M00901_2.00,WRKY38,AT5G22570,CIS-BP
36,M00969_2.00,NAC001,AT1G01010,CIS-BP
37,M00971_2.00,NAC012,AT1G32770,CIS-BP
38,M00972_2.00,NAC019,AT1G52890,CIS-BP
39,M00974_2.00,NAC030,AT1G71930,CIS-BP
40,M00978_2.00,NAC066,AT3G61910,CIS-BP
41,M00981_2.00,VOZ2,AT2G42400,CIS-BP
42,M00982_2.00,ZAP1,AT2G04880,CIS-BP
43,M01045_2.00,ERF14,AT1G04370,CIS-BP
44,M01052_2.00,BHLH49,AT1G68920,CIS-BP
45,M01056_2.00,ABF4,AT3G19290,CIS-BP
46,M01060_2.00,IDD9,AT3G45260,CIS-BP
47,M01064_2.00,KNAT7,AT1G62990,CIS-BP
48,M01065_2.00,HAT4,AT4G16780,CIS-BP
