AT_ID,gene_name,Family,Protein,Expression_System,DNA_Source,Reads,Peaks,FRiP,DAP_ID,CisBP_ID,CisBP_Status,FZ_ID,FZ_Status,Transfac_ID,Transfac_Status,Jaspar_ID,Jaspar_Status
AT5G18090,,ABI3-VP1,AT5G18090,tnt,col,1036683,209,0.505,ABI3VP1_tnt.AT5G18090_col_a,,,,,,,,
AT5G25475,,ABI3-VP1,AT5G25475,tnt,col,445360,352,0.92,ABI3VP1_tnt.AT5G25475_col_a,,,,,,,,
AT5G60130,,ABI3-VP1,AT5G60130,tnt,col,4584739,19106,38.7,ABI3VP1_tnt.AT5G60130_col_a,,,,,,,,
AT3G26790,"FUS3,FUSCA3",ABI3-VP1,FUS3,tnt,col,2528685,3266,30.7,ABI3VP1_tnt.FUS3_col_a,,,,,M2762_1.02,D,M2358_1.02,D
AT4G01500,NGA4,ABI3-VP1,NGA4,tnt,col,2553680,2235,10.9,ABI3VP1_tnt.NGA4_col_a,,,,,,,,
AT4G33280,REM16,ABI3-VP1,REM16,tnt,col,1425270,907,4.09,ABI3VP1_tnt.REM16_col_a,,,,,,,,
AT3G18990,"REM39,VRN1",ABI3-VP1,VRN1,tnt,col,3885165,7028,42.6,ABI3VP1_tnt.VRN1_col_a,,,,,,,,
AT5G64750,ABR1,AP2-EREBP,ABR1,tnt,col,1810783,2481,7.02,AP2EREBP_tnt.ABR1_col_a,M0010_1.02,I,,,,,,
AT5G65510,AIL7,AP2-EREBP,AIL7,tnt,col,2474904,745,7.47,AP2EREBP_tnt.AIL7_col_a,,,,,M2632_1.02,I,,
AT1G01250,,AP2-EREBP,AT1G01250,tnt,col,275230,725,5.9,AP2EREBP_tnt.AT1G01250_col_a,M0072_1.02,I,,,,,,
AT1G12630,,AP2-EREBP,AT1G12630,tnt,col,636014,7707,66.8,AP2EREBP_tnt.AT1G12630_col_a,,,,,M2688_1.02,I,,
AT1G28160,,AP2-EREBP,AT1G28160,tnt,col,614834,1110,8.89,AP2EREBP_tnt.AT1G28160_col_a,,,,,M2670_1.02,I,,
AT1G44830,,AP2-EREBP,AT1G44830,tnt,col,1366487,1635,9.14,AP2EREBP_tnt.AT1G44830_col_a,M0073_1.02,I,,,,,,
AT1G71450,,AP2-EREBP,AT1G71450,tnt,col,2806479,14277,83.2,AP2EREBP_tnt.AT1G71450_col_a,,,,,,,,
AT1G77200,,AP2-EREBP,AT1G77200,tnt,col,1265463,5667,42.2,AP2EREBP_tnt.AT1G77200_col_a,M0026_1.02,I,At1g77200,D,,,,
AT3G16280,,AP2-EREBP,AT3G16280,tnt,col,3368419,598,0.804,AP2EREBP_tnt.AT3G16280_col_a,M0034_1.02,I,,,,,,
AT3G57600,,AP2-EREBP,AT3G57600,tnt,col,2013182,501,1.14,AP2EREBP_tnt.AT3G57600_col_a,,,,,,,M1943_1.02,I
AT3G60490,,AP2-EREBP,AT3G60490,tnt,col,1667055,867,2.44,AP2EREBP_tnt.AT3G60490_col_a,,,,,M2708_1.02,I,,
AT4G18450,,AP2-EREBP,AT4G18450,tnt,col,602115,561,8.02,AP2EREBP_tnt.AT4G18450_col_a,M0017_1.02,I,,,,,,
AT1G19210,,AP2-EREBP,At1g19210,tnt,col,2817754,7908,60.1,AP2EREBP_tnt.At1g19210_col_a,M0014_1.02,I,,,,,,
AT1G22810,,AP2-EREBP,At1g22810,tnt,col,6940815,3765,22.3,AP2EREBP_tnt.At1g22810_col,,,,,,,,
AT1G36060,,AP2-EREBP,At1g36060,tnt,col,395994,673,11.7,AP2EREBP_tnt.At1g36060_col_a,M0016_1.02,I,,,,,,
AT1G75490,,AP2-EREBP,At1g75490,tnt,col,764570,701,4.43,AP2EREBP_tnt.At1g75490_col_a,M0015_1.02,D,,,,,,
AT1G77640,,AP2-EREBP,At1g77640,tnt,col,2456519,690,1.5,AP2EREBP_tnt.At1g77640_col_a,M0075_1.02,I,,,,,,
AT2G33710,,AP2-EREBP,At2g33710,tnt,col,2855157,5544,49.6,AP2EREBP_tnt.At2g33710_col,M0018_1.02,D,,,,,,
AT2G44940,,AP2-EREBP,At2g44940,tnt,col,5442626,740,1.43,AP2EREBP_tnt.At2g44940_col_a,,,,,M2708_1.02,I,,
AT4G16750,,AP2-EREBP,At4g16750,tnt,col,1311492,15677,55.1,AP2EREBP_tnt.At4g16750_col_a,M0026_1.02,D,,,,,,
AT4G28140,,AP2-EREBP,At4g28140,tnt,col,683329,696,2.34,AP2EREBP_tnt.At4g28140_col_a,M0016_1.02,I,,,,,,
AT4G31060,,AP2-EREBP,At4g31060,tnt,col,3758358,3247,17.6,AP2EREBP_tnt.At4g31060_col_a,M0014_1.02,I,,,,,,
AT4G32800,,AP2-EREBP,At4g32800,tnt,col,1692745,3779,21.2,AP2EREBP_tnt.At4g32800_col,M0034_1.02,D,,,,,,
AT5G18450,,AP2-EREBP,At5g18450,tnt,col,543892,2405,7.34,AP2EREBP_tnt.At5g18450_col_a,M0015_1.02,I,,,,,,
AT5G65130,,AP2-EREBP,At5g65130,tnt,col,801897,1992,7.37,AP2EREBP_tnt.At5g65130_col_a,M0016_1.02,I,,,,,,
AT5G67000,,AP2-EREBP,At5g67000,tnt,col,174338,220,1.17,AP2EREBP_tnt.At5g67000_col_a,,,,,,,,
AT4G25490,"CBF1,DREB1B",AP2-EREBP,CBF1,tnt,col,1107093,6942,77.2,AP2EREBP_tnt.CBF1_col_a,M0031_1.02,I,,,,,,
AT4G25470,"CBF2,DREB1C,FTQ4",AP2-EREBP,CBF2,tnt,col,179667,3345,36.6,AP2EREBP_tnt.CBF2_col_a,M0030_1.02,D,,,,,,
AT4G25480,"CBF3,DREB1A",AP2-EREBP,CBF3,tnt,col,1291834,4987,58.3,AP2EREBP_tnt.CBF3_col_a,M0031_1.02,D,,,,,,
AT5G51990,"CBF4,DREB1D",AP2-EREBP,CBF4,tnt,col,694974,10898,65.1,AP2EREBP_tnt.CBF4_col_a,M0031_1.02,I,,,,,,
AT3G50260,"ATERF#011,CEJ1,DEAR1",AP2-EREBP,CEJ1,tnt,col,1712643,19546,65.3,AP2EREBP_tnt.CEJ1_col_a,M0075_1.02,I,,,,,,
AT1G68550,CRF10,AP2-EREBP,CRF10,tnt,col,558337,6410,54.1,AP2EREBP_tnt.CRF10_col100_a,,,,,,,,
AT4G27950,CRF4,AP2-EREBP,CRF4,tnt,col,964521,317,1.03,AP2EREBP_tnt.CRF4_col_a,M0033_1.02,D,,,,,,
AT1G12610,DDF1,AP2-EREBP,DDF1,tnt,col,74030,2395,46.4,AP2EREBP_tnt.DDF1_col_a,,,DDF1,D,M2688_1.02,I,,
AT1G63030,"ddf2,",AP2-EREBP,DDF2,tnt,col,72818,326,14.7,AP2EREBP_tnt.DDF2_col_a,M0031_1.02,I,,,,,,
AT5G67190,DEAR2,AP2-EREBP,DEAR2,tnt,col,4219696,3624,19.3,AP2EREBP_tnt.DEAR2_col_a,M0075_1.02,I,,,,,,
AT2G23340,DEAR3,AP2-EREBP,DEAR3,tnt,col,306097,3110,20.4,AP2EREBP_tnt.DEAR3_col_a,M0075_1.02,I,DEAR3,D,,,,
AT4G06746,"DEAR5,RAP2.9",AP2-EREBP,DEAR5,tnt,col,590014,2274,9.49,AP2EREBP_tnt.DEAR5_col_a,M0075_1.02,I,,,,,,
AT2G38340,DREB19,AP2-EREBP,DREB19,tnt,col,777383,3919,12.6,AP2EREBP_tnt.DREB19_col_a,,,,,,,,
AT5G05410,"DREB2,DREB2A",AP2-EREBP,DREB2,tnt,col,2711251,2345,3.46,AP2EREBP_tnt.DREB2_col_a,,,,,M2727_1.02,I,,
AT1G21910,DREB26,AP2-EREBP,DREB26,tnt,col,1824116,659,3.19,AP2EREBP_tnt.DREB26_col_a,M0075_1.02,I,,,,,,
AT3G23240,ERF1,AP2-EREBP,ERF1,tnt,col,928705,854,1.77,AP2EREBP_tnt.ERF1_col_a,M0025_1.02,D,ERF1,D,M2737_1.02,D,M2360_1.02,D
AT1G03800,ERF10,AP2-EREBP,ERF10,tnt,col,880897,4811,10.2,AP2EREBP_tnt.ERF10_col_a,M0009_1.02,I,,,,,,
AT5G61600,ERF104,AP2-EREBP,ERF104,tnt,col,766094,1370,4.25,AP2EREBP_tnt.ERF104_col_a,M0040_1.02,I,,,,,,
AT5G51190,ERF105,AP2-EREBP,ERF105,tnt,col,11515316,3017,6.61,AP2EREBP_tnt.ERF105_col,M0040_1.02,D,,,,,,
AT1G28370,ERF11,AP2-EREBP,ERF11,tnt,col,6526594,7672,39.8,AP2EREBP_tnt.ERF11_col_b,M0009_1.02,D,,,,,,
AT5G07310,ERF115,AP2-EREBP,ERF115,tnt,col,1100553,2454,33.1,AP2EREBP_tnt.ERF115_col_a,M0036_1.02,I,,,,,,
AT2G44840,ERF13,AP2-EREBP,ERF13,tnt,col,3352561,1713,3.11,AP2EREBP_tnt.ERF13_col_b,M0020_1.02,D,,,,,,
AT2G31230,ERF15,AP2-EREBP,ERF15,tnt,col,3798335,9908,45.8,AP2EREBP_tnt.ERF15_col,M0017_1.02,D,,,,,,
AT5G47220,ERF2,AP2-EREBP,ERF2,tnt,col,720234,726,9.13,AP2EREBP_tnt.ERF2_col_a,M0038_1.02,D,,,,,,
AT1G50640,ERF3,AP2-EREBP,ERF3,tnt,col,2357401,3321,25.6,AP2EREBP_tnt.ERF3_col_a,M0011_1.02,D,,,,,,
AT2G35700,ERF38,AP2-EREBP,ERF38,tnt,col,2184433,5518,39.3,AP2EREBP_tnt.ERF38_col_a,M0026_1.02,I,,,,,,
AT3G15210,"ERF4,RAP2.5",AP2-EREBP,ERF4,tnt,col,1094952,5845,23.5,AP2EREBP_tnt.ERF4_col_a,M0022_1.02,D,,,,,,
AT2G40340,"ERF48,DREB2C",AP2-EREBP,ERF48,tnt,col,1031273,390,1.77,AP2EREBP_tnt.ERF48_col_a,M0015_1.02,I,DREB2C,D,,,,
AT5G47230,ERF5,AP2-EREBP,ERF5,tnt,col,791949,846,15.4,AP2EREBP_tnt.ERF5_col_a,M0039_1.02,D,,,,,,
AT4G17490,ERF6,AP2-EREBP,ERF6,tnt,col,4536910,549,1.76,AP2EREBP_tnt.ERF6_col,M0027_1.02,D,,,,,,
AT3G20310,ERF7,AP2-EREBP,ERF7,tnt,col,1662098,14013,26.3,AP2EREBP_tnt.ERF7_col_a,M0023_1.02,D,,,,,,
AT1G72360,ERF73,AP2-EREBP,ERF73,tnt,col,1950750,611,1.41,AP2EREBP_tnt.ERF73_col_a,,,,,M2700_1.02,I,,
AT1G53170,ERF8,AP2-EREBP,ERF8,tnt,col,810776,6541,26.7,AP2EREBP_tnt.ERF8_col_a,M0012_1.02,D,,,,,,
