#TF	symbol	PWM	PWMsource	PWMref
AT1G01030	NGA3	PWM1179	CisBP	M0078_1.01
AT1G01060	LHY	PWM1020	CisBP	M1267_1.01
AT1G01060	LHY	PWM3338	DAP-seq	LHY1_col
AT1G01060	LHY	PWM634	AthaMAP	T08584
AT1G01250	AT1G01250	PWM1483	CisBP	M0072_1.01
AT1G01250	AT1G01250	PWM2735	DAP-seq	AT1G01250_col
AT1G01260	JAM2	PWM2557	JASPAR	MA0958.1
AT1G01260	JAM2	PWM897	CisBP	M0149_1.01
AT1G01520	ASG4	PWM1198	CisBP	M1205_1.01
AT1G01720	ANAC002	PWM2696	UNIPROBE	UP00573
AT1G01720	ANAC002	PWM2697	UNIPROBE	UP00573
AT1G01720	ANAC002	PWM3399	DAP-seq	ATAF1_col
AT1G02030	AT1G02030	PWM1035	CisBP	M0352_1.01
AT1G02040	AT1G02040	PWM1584	PBM	
AT1G02065	SPL8	PWM1361	CisBP	M2241_1.01
AT1G02065	SPL8	PWM1362	CisBP	M2241_1.01
AT1G02065	SPL8	PWM2177	JASPAR	MA0578.1
AT1G02230	ANAC004	PWM3347	DAP-seq	ANAC004_col
AT1G02250	anac005	PWM3349	DAP-seq	ANAC005_col
AT1G03040	AT1G03040	PWM1022	CisBP	M0247_1.01
AT1G03800	ATERF10	PWM1321	CisBP	M0009_1.01
AT1G03800	ATERF10	PWM2809	DAP-seq	ERF10_col
AT1G03840	MGP	PWM1449	CisBP	M1810_1.01
AT1G03840	MGP	PWM3048	DAP-seq	MGP_col
AT1G03970	GBF4	PWM994	CisBP	M0319_1.01
AT1G04370	ATERF14	PWM875	CisBP	M0037_1.01
AT1G04880	AT1G04880	PWM2864	DAP-seq	AT1G04880_col
AT1G05230	HDG2	PWM1127	CisBP	M0768_1.01
AT1G05805	AKS2	PWM1527	CisBP	M0226_1.01
AT1G06070	AT1G06070	PWM1267	CisBP	M0258_1.01
AT1G06070	AT1G06070	PWM2928	DAP-seq	BZIP69_col
AT1G06160	ORA59	PWM1333	CisBP	M0005_1.01
AT1G06160	ORA59	PWM2645	JASPAR	MA1049.1
AT1G06180	ATMYB13	PWM3236	DAP-seq	MYB13_col
AT1G06280	LBD2	PWM3196	DAP-seq	LBD2_col
AT1G06850	AtbZIP52	PWM2923	DAP-seq	BZIP52_col
AT1G07640	OBP2	PWM707	AGRIS	
AT1G08000	GATA10	PWM2610	JASPAR	MA1013.1
AT1G08000	GATA10	PWM914	CisBP	M0679_1.01
AT1G08010	GATA11	PWM1547	CisBP	M0680_1.01
AT1G08010	GATA11	PWM2611	JASPAR	MA1014.1
AT1G08010	GATA11	PWM3003	DAP-seq	GATA11_col
AT1G08320	bZIP21	PWM1405	CisBP	M0261_1.01
AT1G08320	bZIP21	PWM2950	DAP-seq	TGA9_col
AT1G08810	AtMYB60	PWM1117	CisBP	M1231_1.01
AT1G08810	AtMYB60	PWM3269	DAP-seq	MYB60_col
AT1G09030	NF-YB4	PWM3074	DAP-seq	NFYB4_col
AT1G09530	PAP3	PWM1019	CisBP	M2223_1.01
AT1G09530	PAP3	PWM1305	CisBP	M2733_1.01
AT1G09530	PAP3	PWM1609	PBM	
AT1G09530	PAP3	PWM2160	JASPAR	MA0560.1
AT1G09530	PAP3	PWM829	AthaMAP	T04492
AT1G09530	PAP3	PWM841	CisBP	M2732_1.01
AT1G09530	PAP3	PWM962	AthaMAP	T04492
AT1G09540	ATMYB61	PWM118	AthaMAP	
AT1G09540	ATMYB61	PWM3270	DAP-seq	MYB61_col
AT1G09770	ATCDC5	PWM1062	CisBP	M2569_1.01
AT1G09770	ATCDC5	PWM1311	CisBP	M2242_1.01
AT1G09770	ATCDC5	PWM2178	JASPAR	MA0579.1
AT1G10120	AT1G10120	PWM1338	CisBP	M0249_1.01
AT1G10120	AT1G10120	PWM2891	DAP-seq	BHLH74_col
AT1G10480	ZFP5	PWM1153	CisBP	M0349_1.01
AT1G10720	AT1G10720	PWM2902	DAP-seq	AT1G10720_col
AT1G12260	ANAC007	PWM1187	CisBP	M1313_1.01
AT1G12260	ANAC007	PWM3429	DAP-seq	VND4_col
AT1G12610	DDF1	PWM1566	PBM	
AT1G12610	DDF1	PWM2791	DAP-seq	DDF1_col
AT1G12630	AT1G12630	PWM2737	DAP-seq	AT1G12630_col
AT1G12980	DRN	PWM870	CisBP	M0004_1.01
AT1G13260	EDF4	PWM1067	CisBP	M0078_1.01
AT1G13260	EDF4	PWM1234	CisBP	M2736_1.01
AT1G13260	EDF4	PWM1398	CisBP	M2245_1.01
AT1G13260	EDF4	PWM1470	CisBP	M2737_1.01
AT1G13260	EDF4	PWM1482	CisBP	M2246_1.01
AT1G13260	EDF4	PWM1496	CisBP	M0077_1.01
AT1G13260	EDF4	PWM2181	JASPAR	MA0582.1
AT1G13260	EDF4	PWM2182	JASPAR	MA0583.1
AT1G13260	EDF4	PWM3444	DAP-seq	RAV1_col
AT1G13260	EDF4	PWM642	AGRIS	
AT1G13260	EDF4	PWM853	AthaMAP	T02637
AT1G13260	EDF4	PWM856	AthaMAP	T02637
AT1G13300	HRS1	PWM1205	CisBP	M1217_1.01
AT1G13300	HRS1	PWM3095	DAP-seq	AT1G13300_col
AT1G13400	JGL	PWM3046	DAP-seq	JGL_col
AT1G13450	GT-1	PWM1376	CisBP	M1180_1.01
AT1G13450	GT-1	PWM142	AthaMAP	T04454
AT1G13450	GT-1	PWM2617	JASPAR	MA1020.1
AT1G13450	GT-1	PWM3506	DAP-seq	GT1_col
AT1G13450	GT-1	PWM384	AthaMAP	T04454
AT1G13450	GT-1	PWM563	AthaMAP	T04454
AT1G13960	WRKY4	PWM1279	CisBP	M1571_1.01
AT1G14580	AT1G14580	PWM1450	CisBP	M1810_1.01
AT1G14580	AT1G14580	PWM3023	DAP-seq	AT1G14580_col
AT1G14687	AtHB32	PWM3579	DAP-seq	ATHB32_col
AT1G14900	HMGA	PWM1301	CisBP	M0118_1.01
AT1G15360	AtSHN1	PWM885	CisBP	M0006_1.01
AT1G15720	TRFL5	PWM823	CisBP	M1218_1.01
AT1G16060	ADAP	PWM1155	CisBP	M2234_1.01
AT1G16490	ATMYB58	PWM3267	DAP-seq	MYB58_col
AT1G16530	ASL9	PWM1045	CisBP	M1178_1.01
AT1G17920	HDG12	PWM975	CisBP	M0758_1.01
AT1G17950	ATMYB52	PWM1123	PBM	
AT1G17950	ATMYB52	PWM1550	PBM	
AT1G17950	ATMYB52	PWM3261	DAP-seq	MYB52_col
AT1G18330	EPR1	PWM3334	DAP-seq	EPR1_col
AT1G18330	EPR1	PWM958	CisBP	M1219_1.01
AT1G18400	BEE1	PWM929	CisBP	M0165_1.01
AT1G18570	AtMYB51	PWM3260	DAP-seq	MYB51_col
AT1G18860	ATWRKY61	PWM1324	CisBP	M1561_1.01
AT1G18960	AT1G18960	PWM3300	DAP-seq	AT1G18960_col
AT1G19000	At1g19000	PWM3301	DAP-seq	AT1G19000_col
AT1G19000	At1g19000	PWM927	CisBP	M1220_1.01
AT1G19040	AT1G19040	PWM3397	DAP-seq	AT1G19040_col
AT1G19210	At1g19210	PWM1379	CisBP	M0014_1.01
AT1G19210	At1g19210	PWM2739	DAP-seq	AT1G19210_col
AT1G19220	ARF11	PWM1249	CisBP	M0147_1.01
AT1G19350	BES1	PWM1485	CisBP	M2212_1.01
AT1G19350	BES1	PWM2149	JASPAR	MA0549.1
AT1G19485	AT1G19485	PWM1433	CisBP	M0119_1.01
AT1G19790	SRS7	PWM3466	DAP-seq	SRS7_col
AT1G19850	ARF5	PWM1250	CisBP	M0147_1.01
AT1G19850	ARF5	PWM2542	JASPAR	MA0943.1
AT1G19850	ARF5	PWM2861	DAP-seq	MP_col
AT1G20640	NLP4	PWM3439	DAP-seq	ATNLP4_col
AT1G20700	ATWOX14	PWM1308	CisBP	M1116_1.01
AT1G20710	WOX10	PWM1309	CisBP	M1116_1.01
AT1G20910	AT1G20910	PWM2866	DAP-seq	AT1G20910_col
AT1G20980	ATSPL14	PWM2185	JASPAR	MA0586.1
AT1G20980	ATSPL14	PWM3455	DAP-seq	SPL14_col
AT1G20980	ATSPL14	PWM858	CisBP	M1438_1.01
AT1G20980	ATSPL14	PWM947	CisBP	M2249_1.01
AT1G21910	DREB26	PWM2802	DAP-seq	DREB26_col
AT1G22070	TGA3	PWM2943	DAP-seq	TGA3_col
AT1G22190	RAP2.4	PWM1007	CisBP	M0016_1.01
AT1G22640	ATMYB3	PWM1105	CisBP	M1221_1.01
AT1G22640	ATMYB3	PWM2634	JASPAR	MA1038.1
AT1G22640	ATMYB3	PWM678	AGRIS	
AT1G22810	At1g22810	PWM2741	DAP-seq	AT1G22810_col
